iter	Passed	Remaining
0	26	8068
1	60	9040
2	92	9205
3	118	8765
4	146	8656
5	176	8649
6	195	8173
7	223	8171
8	251	8135
9	274	7965
10	307	8089
11	330	7939
12	357	7890
13	384	7847
14	415	7896
15	441	7831
16	472	7865
17	509	7977
18	537	7947
19	561	7863
20	585	7774
21	615	7776
22	642	7739
23	670	7712
24	700	7704
25	727	7668
26	756	7650
27	784	7623
28	815	7625
29	844	7597
30	881	7647
31	910	7622
32	939	7598
33	967	7566
34	993	7523
35	1023	7502
36	1050	7464
37	1078	7437
38	1103	7383
39	1130	7350
40	1157	7309
41	1183	7268
42	1209	7229
43	1221	7104
44	1247	7068
45	1274	7039
46	1302	7010
47	1330	6983
48	1362	6978
49	1387	6938
50	1413	6898
51	1438	6861
52	1465	6829
53	1476	6725
54	1501	6689
55	1530	6670
56	1561	6655
57	1591	6641
58	1619	6615
59	1648	6593
60	1677	6571
61	1704	6543
62	1730	6511
63	1759	6487
64	1783	6448
65	1809	6414
66	1822	6337
67	1849	6309
68	1876	6281
69	1903	6255
70	1931	6230
71	1964	6221
72	1992	6197
73	2004	6120
74	2030	6092
75	2059	6068
76	2086	6042
77	2117	6026
78	2143	5995
79	2154	5925
80	2182	5899
81	2212	5882
82	2241	5861
83	2271	5839
84	2300	5818
85	2328	5793
86	2360	5778
87	2389	5757
88	2418	5732
89	2446	5709
90	2477	5690
91	2509	5673
92	2538	5651
93	2569	5631
94	2600	5611
95	2630	5588
96	2645	5536
97	2677	5518
98	2693	5467
99	2707	5414
100	2732	5383
101	2762	5362
102	2794	5344
103	2821	5317
104	2848	5289
105	2876	5264
106	2886	5206
107	2914	5180
108	2940	5153
109	2974	5138
110	3008	5122
111	3045	5111
112	3056	5057
113	3083	5030
114	3115	5011
115	3145	4989
116	3178	4971
117	3212	4955
118	3229	4912
119	3240	4860
120	3271	4839
121	3302	4819
122	3331	4793
123	3361	4771
124	3391	4747
125	3423	4727
126	3455	4706
127	3485	4683
128	3517	4663
129	3552	4645
130	3582	4621
131	3614	4599
132	3643	4575
133	3668	4544
134	3695	4516
135	3718	4483
136	3743	4454
137	3772	4429
138	3779	4377
139	3811	4355
140	3842	4333
141	3852	4286
142	3883	4263
143	3914	4240
144	3942	4214
145	3952	4169
146	3981	4144
147	3996	4104
148	4024	4078
149	4034	4034
150	4061	4007
151	4087	3980
152	4097	3937
153	4126	3912
154	4154	3886
155	4165	3844
156	4191	3817
157	4219	3792
158	4247	3766
159	4277	3742
160	4304	3716
161	4336	3694
162	4361	3666
163	4390	3641
164	4419	3615
165	4450	3592
166	4479	3567
167	4508	3542
168	4519	3503
169	4529	3463
170	4558	3438
171	4586	3413
172	4613	3386
173	4630	3353
174	4642	3315
175	4668	3289
176	4697	3264
177	4725	3238
178	4756	3215
179	4778	3185
180	4792	3150
181	4819	3124
182	4847	3099
183	4874	3073
184	4900	3046
185	4911	3010
186	4939	2984
187	4967	2959
188	4989	2930
189	4998	2893
190	5024	2867
191	5040	2835
192	5069	2810
193	5097	2785
194	5124	2759
195	5155	2735
196	5193	2715
197	5228	2693
198	5255	2667
199	5284	2642
200	5314	2617
201	5344	2592
202	5371	2566
203	5381	2532
204	5408	2506
205	5436	2480
206	5474	2459
207	5502	2433
208	5532	2408
209	5562	2383
210	5589	2357
211	5599	2324
212	5627	2298
213	5661	2275
214	5674	2243
215	5699	2216
216	5726	2190
217	5754	2164
218	5786	2140
219	5816	2114
220	5844	2089
221	5872	2063
222	5898	2036
223	5935	2013
224	5976	1992
225	6003	1965
226	6029	1939
227	6055	1912
228	6065	1880
229	6091	1854
230	6119	1827
231	6146	1801
232	6179	1776
233	6206	1750
234	6234	1724
235	6260	1697
236	6291	1672
237	6318	1645
238	6346	1619
239	6373	1593
240	6401	1567
241	6431	1541
242	6465	1516
243	6498	1491
244	6528	1465
245	6554	1438
246	6581	1412
247	6611	1386
248	6640	1360
249	6672	1334
250	6706	1309
251	6736	1283
252	6762	1256
253	6790	1229
254	6820	1203
255	6848	1177
256	6879	1151
257	6916	1125
258	6946	1099
259	6976	1073
260	7006	1046
261	7037	1020
262	7065	993
263	7094	967
264	7125	941
265	7154	914
266	7191	888
267	7224	862
268	7255	836
269	7286	809
270	7317	783
271	7356	757
272	7390	730
273	7422	704
274	7453	677
275	7483	650
276	7515	624
277	7546	597
278	7575	570
279	7603	543
280	7634	516
281	7664	489
282	7688	461
283	7717	434
284	7748	407
285	7777	380
286	7807	353
287	7836	326
288	7863	299
289	7894	272
290	7925	245
291	7959	218
292	7989	190
293	8018	163
294	8048	136
295	8079	109
296	8105	81
297	8132	54
298	8161	27
299	8189	0
